frame.len,ip.len,ip.ttl,ip.proto,ip.version,tcp.srcport,tcp.dstport,tcp.len,tcp.seq,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.window_size,udp.srcport,udp.dstport,udp.length,dns.qry.type,dns.flags.response,dns.flags.recdesired,alert
66,52,128,6,4,38418,80,0,0,0,0,0,64240,,,,,,,benign
42,,,,,,,,,,,,,,,,,,,benign
42,,,,,,,,,,,,,,,,,,,benign
66,52,64,6,4,80,38418,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38418,80,0,1,1,0,0,131328,,,,,,,benign
209,195,128,6,4,38418,80,155,1,1,0,0,131328,,,,,,,benign
54,40,64,6,4,80,38418,0,1,1,0,0,6912,,,,,,,benign
893,879,64,6,4,80,38418,839,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38418,80,0,156,1,1,0,130560,,,,,,,benign
54,40,64,6,4,80,38418,0,840,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38418,80,0,157,1,0,0,130560,,,,,,,benign
66,52,128,6,4,38421,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38421,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38421,80,0,1,1,0,0,131328,,,,,,,benign
207,193,128,6,4,38421,80,153,1,1,0,0,131328,,,,,,,benign
54,40,64,6,4,80,38421,0,1,1,0,0,6912,,,,,,,benign
899,885,64,6,4,80,38421,845,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38421,80,0,154,1,1,0,130304,,,,,,,benign
54,40,64,6,4,80,38421,0,846,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38421,80,0,155,1,0,0,130304,,,,,,,benign
66,52,128,6,4,38422,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38422,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38422,80,0,1,1,0,0,131328,,,,,,,benign
211,197,128,6,4,38422,80,157,1,1,0,0,131328,,,,,,,benign
54,40,64,6,4,80,38422,0,1,1,0,0,6912,,,,,,,benign
896,882,64,6,4,80,38422,842,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38422,80,0,158,1,1,0,130304,,,,,,,benign
54,40,64,6,4,80,38422,0,843,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38422,80,0,159,1,0,0,130304,,,,,,,benign
66,52,128,6,4,38423,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38423,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38423,80,0,1,1,0,0,131328,,,,,,,benign
213,199,128,6,4,38423,80,159,1,1,0,0,131328,,,,,,,benign
54,40,64,6,4,80,38423,0,1,1,0,0,6912,,,,,,,benign
908,894,64,6,4,80,38423,854,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38423,80,0,160,1,1,0,130304,,,,,,,benign
54,40,64,6,4,80,38423,0,855,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38423,80,0,161,1,0,0,130304,,,,,,,benign
66,52,128,6,4,38424,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38424,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38424,80,0,1,1,0,0,131328,,,,,,,benign
216,202,128,6,4,38424,80,162,1,1,0,0,131328,,,,,,,benign
54,40,64,6,4,80,38424,0,1,1,0,0,6912,,,,,,,benign
1187,1173,64,6,4,80,38424,1133,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38424,80,0,163,1,1,0,130048,,,,,,,benign
54,40,64,6,4,80,38424,0,1134,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38424,80,0,164,1,0,0,130048,,,,,,,benign
90,,,,6,,,,,,,,,,,,,,,benign
54,40,1,2,4,,,,,,,,,,,,,,,benign
