src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
102.132.97.55,192.168.0.182,80,38991,6,2025-10-23 15:37:31,102.27206182479858,159.94592959338937,1.1635631263976853,0.6453375322877919,0.5182255941098934,66,53,7916,8442,590,54,119.93939393939394,105.8035456225327,1568,54,159.28301886792454,274.17418904422107,1568,54,137.46218487394958,200.17680378030045,40070.752771696905,1320,1060,20,36,0.8667123883457507,40.43450903892517,0.0,3.9715764023047413,102.27206182479858,40.43450903892517,0.0,1.5734163357661322,5.255181121901741,102.20443201065063,40.46875500679016,0.00014400482177734375,1.965469846358666,5.808648117678491,36,31,0,0,0,0,0,67,119,0,0,0.803030303030303,137.46218487394958,1329,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.93939393939394,159.28301886792454,0,66,53,7916,8442
192.168.0.182,51.178.91.234,50790,443,6,2025-10-23 15:37:33,100.76144289970398,17.526545364756664,0.2878085025922668,0.14886646685806906,0.13894203573419778,15,14,822,944,55,54,54.8,0.39999999999999997,70,58,67.42857142857143,4.923910839889738,70,54,60.89655172413793,7.1840091946902165,51.60998810939357,300,280,20,12,3.5986229607037137,10.014868021011353,0.0,4.777742585346199,100.70027279853821,10.073811769485474,0.0,7.1928766284670145,4.546984162130289,100.69882297515869,10.076038122177124,0.06364202499389648,7.746063305781438,4.206597430504503,0,0,0,0,0,0,0,0,29,0,0,0.9333333333333333,60.89655172413793,254,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,67.42857142857143,0,15,14,822,944
192.168.0.182,162.159.137.234,51672,443,6,2025-10-23 15:37:33,96.34509491920471,25.720043164398337,0.2594838898748823,0.17644904511492,0.08303484475996234,17,8,1566,912,126,54,92.11764705882354,35.93766229089277,114,114,114.0,0.0,126,54,99.12,31.343669217243857,982.4256,340,160,20,9,4.014378954966863,13.658777952194214,0.0,6.183802429496919,96.34509491920471,13.658777952194214,0.0,6.0215684324502945,6.728676403881839,96.25350403785706,13.763229131698608,13.736336946487427,13.750500576836723,0.007798853559474922,9,8,0,0,0,0,0,17,25,0,0,0.47058823529411764,99.12,255,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.11764705882354,114.0,0,17,8,1566,912
162.159.134.234,192.168.0.182,443,63982,6,2025-10-23 15:37:37,96.10248899459839,37.04378562141191,0.41622231035294277,0.21851671293529495,0.19770559741764782,21,19,2114,1446,119,58,100.66666666666667,19.260948236889245,194,54,76.10526315789474,51.04991853887218,194,54,89.0,39.78818920232485,1583.1,420,380,20,18,2.464166384476882,21.954943895339966,0.0,4.579306716472013,96.04807305335999,22.04888105392456,0.0,4.802403652668,5.501649838380691,96.05033087730408,21.954943895339966,0.09084105491638184,5.3361294931835594,5.512584263377593,18,3,0,0,0,0,0,21,40,0,0,0.9047619047619048,89.0,16,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.66666666666667,76.10526315789474,0,21,19,2114,1446
192.168.0.182,162.159.130.235,51671,2096,6,2025-10-23 15:37:40,96.34497809410095,25.813488665397028,0.25948420451746107,0.17644925907187353,0.08303494544558755,17,8,1575,912,127,54,92.6470588235294,36.43679648937739,114,114,114.0,0.0,127,54,99.48,31.654535220091294,1002.0096000000001,340,160,20,9,4.014374087254207,13.655462980270386,0.0,6.183160097345817,96.34497809410095,13.655462980270386,0.0,6.0215611308813095,6.727797958629153,96.24461078643799,13.753841876983643,13.745311975479126,13.749230112348284,0.0032306814814270783,9,8,0,0,0,0,0,17,25,0,0,0.47058823529411764,99.48,254,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6470588235294,114.0,0,17,8,1575,912
192.168.0.182,192.168.0.1,61734,53,17,2025-10-23 15:37:31,121.40194988250732,13.895987680862431,0.1317935998184937,0.07413389989790271,0.057659699920591,9,7,726,961,92,70,80.66666666666667,8.563488385776754,212,81,137.28571428571428,53.87741187366076,212,70,105.4375,45.82707817164433,2100.12109375,180,140,20,9,8.093463325500489,37.87651801109314,0.0,11.281054263130034,121.40194988250732,37.88625192642212,0.0,15.175243735313416,11.46499494873506,109.98704385757446,37.894355058670044,5.11138391494751,18.33117397626241,11.161577375313236,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,105.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.66666666666667,137.28571428571428,0,9,7,726,961
192.168.0.182,72.144.120.145,50773,443,6,2025-10-23 15:37:43,110.26937699317932,8.216243028706332,0.090687009146869,0.0634809064028083,0.0272061027440607,7,3,606,300,111,54,86.57142857142857,28.20768458040743,100,100,100.0,0.0,111,54,90.6,24.389341934541815,594.8399999999999,140,60,20,4,12.252152999242147,54.96847200393677,0.0,22.83044043684903,110.26937699317932,54.96847200393677,0.0,18.37822949886322,25.870064285933353,110.16523098945618,55.088541984558105,55.07668900489807,55.08261549472809,0.00592648983001709,4,3,0,0,0,0,0,7,10,0,0,0.42857142857142855,90.6,254,16380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.57142857142857,100.0,0,7,3,606,300
192.168.0.182,52.155.92.58,21115,443,6,2025-10-23 15:37:44,120.05662202835083,8.779190870047158,0.09995283723013841,0.06663522482009228,0.03331761241004614,8,4,682,372,104,54,85.25,24.206145913796355,93,93,93.0,0.0,104,54,87.83333333333333,20.099060232314898,403.97222222222223,160,80,20,5,10.914238366213711,39.890105962753296,0.0,17.736604076198173,119.98876595497131,39.890105962753296,0.0,17.141252279281616,19.690616577046903,119.97025799751282,39.99966216087341,39.97505187988281,39.99008599917094,0.01076285149218263,5,4,0,0,0,0,0,9,12,0,0,0.5,87.83333333333333,252,16379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.25,93.0,0,8,4,682,372
192.168.0.182,23.55.48.41,51703,443,6,2025-10-23 15:38:03,94.42322087287903,5.125857765979028,0.08472492175171947,0.052953076094824664,0.0317718456568948,5,3,274,210,55,54,54.8,0.4,82,58,70.0,9.797958971132712,82,54,60.5,9.5,90.25,100,60,20,4,13.489031553268433,45.008485078811646,0.0,19.98683923769368,94.42322087287903,45.008485078811646,0.0,23.605805218219757,21.45654410831928,4.357931137084961,4.357547998428345,0.00038313865661621094,2.1789655685424805,2.1785824298858643,0,1,0,0,1,0,0,1,8,0,0,0.6,60.5,255,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,70.0,0,5,3,274,210
192.168.0.182,23.55.48.41,51705,443,6,2025-10-23 15:38:03,94.26779413223267,5.134309171604001,0.0848646144066777,0.05304038400417356,0.031824230402504136,5,3,274,210,55,54,54.8,0.4,82,58,70.0,9.797958971132712,82,54,60.5,9.5,90.25,100,60,20,4,13.466827733176094,45.00492215156555,0.0,19.99571341711676,94.26779413223267,45.00492215156555,0.0,23.566948533058167,21.489466196596876,4.200782060623169,4.200601100921631,0.00018095970153808594,2.1003910303115845,2.1002100706100464,0,1,0,0,1,0,0,1,8,0,0,0.6,60.5,255,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,70.0,0,5,3,274,210
192.168.0.182,23.55.48.41,51704,443,6,2025-10-23 15:38:03,94.2685489654541,5.134268059831577,0.0848639348732492,0.05303995929578075,0.03182397557746845,5,3,274,210,55,54,54.8,0.4,82,58,70.0,9.797958971132712,82,54,60.5,9.5,90.25,100,60,20,4,13.466935566493444,45.00617504119873,0.0,19.996146560680618,94.2685489654541,45.00617504119873,0.0,23.567137241363525,21.490462114279072,4.195266008377075,4.191042900085449,0.0042231082916259766,2.0976330041885376,2.0934098958969116,0,1,0,0,1,0,0,1,8,0,0,0.6,60.5,255,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,70.0,0,5,3,274,210
192.168.0.182,23.55.48.41,51706,443,6,2025-10-23 15:38:03,94.20563197135925,5.13769707682814,0.08492061284013455,0.05307538302508409,0.03184522981505045,5,3,274,210,55,54,54.8,0.4,82,58,70.0,9.797958971132712,82,54,60.5,9.5,90.25,100,60,20,4,13.457947424479894,45.002625942230225,0.0,19.99820187021002,94.20563197135925,45.002625942230225,0.0,23.551407992839813,21.501134188294646,4.136027812957764,4.135768890380859,0.0002589225769042969,2.068013906478882,2.0677549839019775,0,1,0,0,1,0,0,1,8,0,0,0.6,60.5,255,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,70.0,0,5,3,274,210
192.168.0.182,23.55.48.16,51709,443,6,2025-10-23 15:38:04,94.33323383331299,5.130747461231203,0.08480574316084633,0.05300358947552895,0.03180215368531737,5,3,274,210,55,54,54.8,0.4,82,58,70.0,9.797958971132712,82,54,60.5,9.5,90.25,100,60,20,4,13.476176261901855,45.009474992752075,0.0,19.99402824494659,94.33323383331299,45.009474992752075,0.0,23.583308458328247,21.47901095667956,4.258604049682617,4.258268117904663,0.00033593177795410156,2.1293020248413086,2.1289660930633545,0,1,0,0,1,0,0,1,8,0,0,0.6,60.5,255,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,70.0,0,5,3,274,210
